Date,Open,High,Low,Close,Adj Close,Volume
2000-07-20,29.476046,30.057901,29.064487,29.518620,17.976490,11059765
2000-07-21,29.419277,29.419277,27.361490,28.156221,17.146799,33009301
2000-07-24,28.156221,28.241371,26.651907,26.978315,16.429478,15259860
2000-07-25,26.978315,27.134422,26.070049,26.197775,15.954132,25934716
2000-07-26,26.197775,26.609331,24.863760,24.977293,15.210871,34297031
2000-07-27,24.920527,24.920527,23.671661,24.069029,14.657750,21419735
2000-07-28,24.069029,24.764420,23.387829,24.352861,14.830601,21519265
2000-07-31,24.352861,25.431425,24.012262,24.806993,15.107160,22477135
2000-08-01,24.806993,25.261126,24.296095,24.494778,14.917025,10494732
2000-08-02,24.494778,26.112625,24.352861,25.544958,15.556574,22304498
2000-08-03,25.544958,25.587534,24.579927,25.431425,15.487430,14197615
2000-08-04,25.431425,26.055859,24.778610,25.374659,15.452870,8999134
2000-08-07,25.374659,26.282925,25.218552,26.183582,15.945483,13330908
2000-08-08,26.183582,26.509991,25.701067,26.297115,16.014631,11473741
2000-08-09,26.297115,26.552567,25.431425,25.828793,15.729419,9843821
2000-08-10,25.828793,26.055859,25.459808,25.488194,15.522006,7987094
2000-08-11,25.175976,25.175976,24.750227,24.977293,15.210871,9932782
2000-08-14,24.977293,25.999092,24.963102,25.999092,15.833137,10050809
2000-08-15,25.743643,25.743643,24.920527,25.204359,15.349154,11884194
2000-08-16,25.204359,25.559151,24.579927,25.346275,15.435578,19575340
2000-08-17,25.204359,25.204359,24.296095,24.721844,15.055304,54595507
2000-08-18,24.721844,25.658491,24.650887,25.431425,15.487430,32294972
2000-08-21,25.431425,25.644300,25.119209,25.204359,15.349154,13628618
2000-08-22,25.275318,25.999092,25.275318,25.672684,15.634358,15919139
2000-08-23,25.672684,26.268732,25.218552,26.112625,15.902279,13862030
2000-08-24,26.169392,27.219572,26.169392,27.219572,16.576391,13643152
2000-08-25,27.106039,27.106039,26.637716,26.964125,16.420828,9833251
2000-08-28,26.964125,27.574364,26.651907,27.247955,16.593679,13263527
2000-08-29,27.247955,27.574364,27.006699,27.233765,16.585039,11533636
2000-08-30,27.233765,27.389874,26.708673,26.793823,16.317114,8821212
2000-08-31,27.148615,27.588556,27.148615,27.393421,16.682270,13566522
2000-09-01,27.531790,28.709696,27.531790,28.383287,17.285084,14297146
2000-09-05,28.383287,28.525204,27.787239,27.914965,16.999872,11143001
2000-09-06,27.914965,28.042688,27.134422,27.247955,16.593679,10770422
2000-09-07,27.375681,28.440054,27.375681,28.113647,17.120874,13502224
2000-09-08,28.113647,28.241371,27.475023,27.475023,16.731955,10151220
2000-09-11,26.850590,26.850590,25.786217,25.885559,15.764000,22422966
2000-09-12,25.559151,25.559151,24.523161,25.204359,15.349154,26279108
2000-09-13,24.693460,24.693460,23.813580,23.841963,14.519470,32698379
2000-09-14,23.870344,24.579927,23.870344,24.579927,14.968878,20900944
2000-09-15,24.296095,24.296095,23.160763,23.387829,14.242909,30532051
2000-09-18,23.387829,23.983877,23.075613,23.387829,14.265068,20053614
2000-09-19,23.458788,24.182562,23.458788,24.182562,14.749801,19725956
2000-09-20,24.069029,24.069029,22.777590,23.245913,14.178507,23730954
2000-09-21,23.245913,23.572321,21.344233,21.571299,13.157098,19138022
2000-09-22,21.798365,23.700045,21.798365,23.657471,14.429536,36741251
2000-09-25,23.657471,24.168369,22.082197,22.451181,13.693770,19202761
2000-09-26,22.451181,23.373638,22.252499,22.280882,13.589897,24451448
2000-09-27,22.280882,23.614897,22.280882,23.501362,14.334312,35898325
2000-09-28,23.501362,24.395435,23.472979,23.572321,14.377600,18409160
2000-09-29,23.387829,23.387829,21.727407,22.025431,13.434097,38859134
2000-10-02,22.025431,22.465372,21.259083,21.301659,12.992638,24037913
2000-10-03,21.301659,22.195730,21.117167,21.230700,12.949357,21794956
2000-10-04,21.230700,22.252499,21.230700,21.713215,13.243657,21861896
2000-10-05,21.117167,21.117167,19.584469,20.038601,12.222256,43318184
2000-10-06,20.038601,20.620459,19.627045,19.797342,12.075102,30792768
2000-10-09,20.081177,21.060400,20.081177,20.648842,12.594461,17435876
2000-10-10,20.648842,21.074591,19.996025,20.308243,12.386719,21821820
2000-10-11,20.279860,20.279860,19.045185,19.428362,11.850048,27125557
2000-10-12,19.428362,20.336626,18.732969,19.002611,11.590369,27442645
2000-10-13,19.272251,20.776567,19.272251,20.577885,12.551183,27026467
2000-10-16,20.592075,21.571299,20.592075,21.046207,12.836825,16581500
2000-10-17,21.046207,21.486149,20.066984,20.549500,12.533864,18073576
2000-10-18,20.421776,20.421776,19.357403,19.428362,11.850048,28692060
2000-10-19,19.541895,20.890100,19.541895,20.648842,12.594461,30548346
2000-10-20,20.648842,21.954473,20.237284,21.798365,13.295598,20611601
2000-10-23,21.798365,22.664055,21.599682,22.337648,13.624521,15853079
2000-10-24,22.337648,22.607288,20.577885,21.003633,12.810861,24555383
2000-10-25,20.918484,20.918484,19.527702,19.712193,12.023170,22056553
2000-10-26,19.712193,20.421776,18.704588,19.527702,11.910638,26483454
2000-10-27,19.797342,21.344233,19.797342,19.797342,12.075102,30795410
2000-10-30,21.117167,21.117167,19.783152,20.804951,12.689673,10974768
2000-10-31,20.804951,21.684832,20.435966,21.117167,12.880113,15346619
2000-11-01,20.975250,20.975250,19.698002,20.180517,12.308815,15051551
2000-11-02,20.208900,21.259083,20.208900,20.464352,12.481937,14318065
2000-11-03,20.464352,21.798365,19.953451,21.003633,12.810861,15977492
2000-11-06,21.003633,21.344233,20.549500,20.861717,12.724300,8944744
2000-11-07,20.861717,21.741598,20.691418,21.542915,13.139789,8908411
2000-11-08,21.542915,21.656448,20.691418,20.748182,12.655053,10976530
2000-11-09,20.322433,20.322433,18.903271,19.499319,11.893325,19944395
2000-11-10,18.647820,18.647820,17.143505,17.767939,10.837298,25462387
2000-11-13,16.121708,16.121708,14.816076,15.497275,9.452335,83359573
2000-11-14,15.667575,17.001589,15.667575,16.802906,10.248690,34280956
2000-11-15,16.802906,16.831289,15.724342,16.036558,9.781263,21887880
2000-11-16,16.036558,16.206858,15.695958,15.923025,9.712016,19980067
2000-11-17,15.923025,16.660990,15.923025,16.178474,9.867826,22086280
2000-11-20,16.178474,16.462307,15.582425,15.695958,9.573521,17818804
2000-11-21,15.695958,16.064941,15.383742,15.412125,9.400402,13552429
2000-11-22,15.412125,15.639192,15.071526,15.298592,9.331156,15133465
2000-11-24,15.951408,16.348774,15.951408,16.150091,9.850514,10086481
2000-11-27,16.178474,16.774523,16.178474,16.206858,9.885139,14310798
2000-11-28,16.206858,16.206858,15.610808,15.752725,9.608148,12891169
2000-11-29,15.752725,16.263624,15.639192,15.695958,9.573521,14657833
2000-11-30,15.298592,15.298592,13.851045,14.361944,8.759857,37227232
2000-12-01,14.503860,15.582425,14.503860,14.617393,8.915667,17157103
2000-12-04,14.617393,15.241826,14.589010,14.986376,9.140725,13599112
2000-12-05,15.014759,16.178474,15.014759,15.894641,9.694700,17057353
