"","Species","Treatment","NetCarbonAssimilation","LeafT"
"510","Acer rubrum","Twelve-species",-0.692,25.22
"511","Betula papyrifera","Twelve-species",25.4,30.15
"512","Betula papyrifera","Twelve-species",24.4,29.12
"513","Betula papyrifera","Twelve-species",23.3,28.37
"514","Betula papyrifera","Twelve-species",18.3,27.76
"515","Betula papyrifera","Twelve-species",8.8,27.4
"516","Betula papyrifera","Twelve-species",3.76,26.92
"517","Betula papyrifera","Twelve-species",1.29,26.65
"518","Betula papyrifera","Twelve-species",-0.228,26.54
"519","Betula papyrifera","Twelve-species",-1.7,26.62
"520","Betula papyrifera","Twelve-species",23.3,30.41
"521","Betula papyrifera","Twelve-species",23.8,29.93
"522","Betula papyrifera","Twelve-species",22.3,29.12
"523","Betula papyrifera","Twelve-species",19.2,28.26
"524","Betula papyrifera","Twelve-species",8.15,27.68
"525","Betula papyrifera","Twelve-species",3.32,27.64
"526","Betula papyrifera","Twelve-species",0.876,27.48
"527","Betula papyrifera","Twelve-species",-0.12,27.52
"528","Betula papyrifera","Twelve-species",-1.52,27.66
"529","Betula papyrifera","Monoculture",24.2,28.97
"530","Betula papyrifera","Monoculture",22.9,28.43
"531","Betula papyrifera","Monoculture",20.1,27.93
"532","Betula papyrifera","Monoculture",17.2,27.12
"533","Betula papyrifera","Monoculture",9.11,26.56
"534","Betula papyrifera","Monoculture",4.61,26.45
"535","Betula papyrifera","Monoculture",1.44,26.33
"536","Betula papyrifera","Monoculture",-0.00978,26.24
"537","Betula papyrifera","Monoculture",-0.528,26.24
"538","Betula papyrifera","Monoculture",24.9,29.59
"539","Betula papyrifera","Monoculture",25.3,29.41
"540","Betula papyrifera","Monoculture",23.9,29.16
"541","Betula papyrifera","Monoculture",19.9,28.58
"542","Betula papyrifera","Monoculture",8.82,27.54
"543","Betula papyrifera","Monoculture",4.09,26.97
"544","Betula papyrifera","Monoculture",0.749,27.18
"545","Betula papyrifera","Monoculture",-0.781,27.03
"546","Betula papyrifera","Monoculture",-2.22,27.18
"547","Quercus ellipsoidalis","Twelve-species",23.2,29.04
"548","Quercus ellipsoidalis","Twelve-species",22.6,28.38
"549","Quercus ellipsoidalis","Twelve-species",22.1,27.57
"550","Quercus ellipsoidalis","Twelve-species",18.1,26.67
"551","Quercus ellipsoidalis","Twelve-species",9.77,26.06
"552","Quercus ellipsoidalis","Twelve-species",4.73,25.88
"553","Quercus ellipsoidalis","Twelve-species",1.84,25.75
"554","Quercus ellipsoidalis","Twelve-species",0.385,25.9
"555","Quercus ellipsoidalis","Twelve-species",-0.687,26.03
"556","Quercus ellipsoidalis","Twelve-species",12.6,32.18
"557","Quercus ellipsoidalis","Twelve-species",12.8,31.07
"558","Quercus ellipsoidalis","Twelve-species",11.5,30.19
"559","Quercus ellipsoidalis","Twelve-species",11.3,29.07
"560","Quercus ellipsoidalis","Twelve-species",8.26,28.48
"561","Quercus ellipsoidalis","Twelve-species",5,28.43
"562","Quercus ellipsoidalis","Twelve-species",2.74,28.48
"563","Quercus ellipsoidalis","Twelve-species",1.05,28.52
"564","Quercus ellipsoidalis","Twelve-species",-0.14,28.48
"565","Quercus ellipsoidalis","Shaded biculture",15.2,30.52
"566","Quercus ellipsoidalis","Shaded biculture",14.9,29.5
"567","Quercus ellipsoidalis","Shaded biculture",14,28.65
"568","Quercus ellipsoidalis","Shaded biculture",11.7,27.86
"569","Quercus ellipsoidalis","Shaded biculture",7.21,27.58
"570","Quercus ellipsoidalis","Shaded biculture",3.68,27.66
"571","Quercus ellipsoidalis","Shaded biculture",1.61,27.64
"572","Quercus ellipsoidalis","Shaded biculture",-0.086,27.65
"573","Quercus ellipsoidalis","Shaded biculture",-0.969,27.69
"574","Quercus ellipsoidalis","Monoculture",19.2,31.15
"575","Quercus ellipsoidalis","Monoculture",18.3,30.35
"576","Quercus ellipsoidalis","Monoculture",18.2,29.44
"577","Quercus ellipsoidalis","Monoculture",14.6,28.66
"578","Quercus ellipsoidalis","Monoculture",7.5,28.23
"579","Quercus ellipsoidalis","Monoculture",2.92,28.14
"580","Quercus ellipsoidalis","Monoculture",0.557,28.09
"581","Quercus ellipsoidalis","Monoculture",-0.733,28.16
"582","Quercus ellipsoidalis","Monoculture",-1.59,28.38
"583","Tilia americana","Shaded biculture",22.2,28.93
"584","Tilia americana","Shaded biculture",21.6,28.05
"585","Tilia americana","Shaded biculture",20.4,27.22
"586","Tilia americana","Shaded biculture",16.4,26.45
"587","Tilia americana","Shaded biculture",8.75,26.03
"588","Tilia americana","Shaded biculture",4.53,25.86
"589","Tilia americana","Shaded biculture",1.83,25.79
"590","Tilia americana","Shaded biculture",0.243,25.82
"591","Tilia americana","Shaded biculture",-1.23,25.99
"592","Acer rubrum","Monoculture",11,29.85
"593","Acer rubrum","Monoculture",11.2,29.36
"594","Acer rubrum","Monoculture",11,28.47
"595","Acer rubrum","Monoculture",10.7,27.38
"596","Acer rubrum","Monoculture",6.84,26.8
"597","Acer rubrum","Monoculture",3.78,26.73
"598","Acer rubrum","Monoculture",1.16,26.83
"599","Acer rubrum","Monoculture",0.117,26.93
"600","Acer rubrum","Monoculture",-1.37,26.9
"601","Acer rubrum","Monoculture",4.18,27.57
"602","Acer rubrum","Monoculture",3.55,26.65
"603","Acer rubrum","Monoculture",3.79,26.06
"604","Acer rubrum","Monoculture",2.16,26.06
"605","Acer rubrum","Monoculture",1.14,26
"606","Acer rubrum","Monoculture",-0.103,26.15
"607","Acer rubrum","Monoculture",-1.13,26.27
"608","Acer rubrum","Shaded biculture",8.13,29.83
"609","Acer rubrum","Shaded biculture",9.19,29.02
"610","Acer rubrum","Shaded biculture",9.76,27.99
"611","Acer rubrum","Shaded biculture",9.52,27.16
"612","Acer rubrum","Shaded biculture",6.63,26.7
"613","Acer rubrum","Shaded biculture",3.69,26.56
"614","Acer rubrum","Shaded biculture",1.84,26.58
"615","Acer rubrum","Shaded biculture",-0.0292,26.57
"616","Acer rubrum","Shaded biculture",-1.29,26.61
"617","Acer rubrum","Shaded biculture",6.86,30.83
"618","Acer rubrum","Shaded biculture",7.71,29.8
"619","Acer rubrum","Shaded biculture",7.27,28.56
"620","Acer rubrum","Shaded biculture",6.93,27.21
"621","Acer rubrum","Shaded biculture",5.98,26.56
"622","Acer rubrum","Shaded biculture",3.8,26.28
"623","Acer rubrum","Shaded biculture",1.92,26.09
"624","Acer rubrum","Shaded biculture",0.806,25.97
"625","Acer rubrum","Shaded biculture",-0.938,25.91
"626","Acer rubrum","Twelve-species",10.7,30.63
"627","Acer rubrum","Twelve-species",10.6,29.31
"628","Acer rubrum","Twelve-species",11.5,28.03
"629","Acer rubrum","Twelve-species",11.6,27.08
"630","Acer rubrum","Twelve-species",8.44,26.52
"631","Acer rubrum","Twelve-species",4.52,26.33
"632","Acer rubrum","Twelve-species",2.1,26.17
"633","Acer rubrum","Twelve-species",0.944,26.24
"634","Acer rubrum","Twelve-species",-0.993,26.32
"635","Acer rubrum","Twelve-species",8.49,30.26
"636","Acer rubrum","Twelve-species",8.18,29.63
"637","Acer rubrum","Twelve-species",8.56,28.7
"638","Acer rubrum","Twelve-species",7.91,27.81
"639","Acer rubrum","Twelve-species",7.56,27.29
"640","Acer rubrum","Twelve-species",4.1,27.1
"641","Acer rubrum","Twelve-species",1.89,27.11
"642","Acer rubrum","Twelve-species",0.494,27.15
"643","Acer rubrum","Twelve-species",-0.76,27.19
