"","species","decimalLatitude","decimalLongitude","eventDate","year"
"8961","Asellus aquaticus",51.592959,5.596037,2003-04-28,2003
"8962","Asellus aquaticus",51.565753,4.811801,2010-04-19,2010
"8963","Asellus aquaticus",51.502412,5.612789,2008-08-28,2008
"8964","Asellus aquaticus",51.717592,5.119492,2000-05-29,2000
"8965","Asellus aquaticus",51.509482,4.985601,2002-05-14,2002
"8966","Asellus aquaticus",51.623926,4.627021,2010-05-31,2010
"8967","Asellus aquaticus",53.271889,5.585367,2004-06-09,2004
"8968","Asellus aquaticus",52.982318,6.181418,2009-04-14,2009
"8969","Asellus aquaticus",51.430603,4.539939,2010-05-17,2010
"8970","Asellus aquaticus",51.547904,4.445191,2008-09-22,2008
"8971","Asellus aquaticus",51.486293,4.366125,2002-07-07,2002
"8972","Asellus aquaticus",53.002874,6.063899,2006-05-15,2006
"8973","Asellus aquaticus",51.602006,4.968616,2002-05-14,2002
"8974","Asellus aquaticus",51.694341,4.75341,2009-04-27,2009
"8975","Asellus aquaticus",51.685157,4.767132,2001-09-26,2001
"8976","Asellus aquaticus",51.666884,4.534364,2003-09-22,2003
"8977","Asellus aquaticus",51.678525,4.492358,2008-09-22,2008
"8978","Asellus aquaticus",53.232913,6.157146,2009-05-18,2009
"8979","Asellus aquaticus",52.904452,5.912314,2005-04-13,2005
"8980","Asellus aquaticus",53.025983,6.132597,2006-05-29,2006
"8981","Asellus aquaticus",52.89654,5.526151,2008-04-23,2008
"8982","Asellus aquaticus",53.208641,5.595838,2002-04-15,2002
"8983","Asellus aquaticus",53.043095,5.654281,2003-06-10,2003
"8984","Asellus aquaticus",52.960095,5.904413,2001-05-02,2001
"8985","Asellus aquaticus",52.998859,6.025988,2007-04-10,2007
"8986","Asellus aquaticus",52.544834,6.12429,2003-09-03,2003
"8987","Asellus aquaticus",52.553344,6.364629,2002-09-19,2002
"8988","Asellus aquaticus",52.505548,6.270482,2009-05-12,2009
"8989","Asellus aquaticus",52.528887,6.144655,2003-10-08,2003
"8990","Asellus aquaticus",53.089152,6.071678,2004-04-14,2004
"8991","Asellus aquaticus",52.429884,6.40322,2000-10-03,2000
"8992","Asellus aquaticus",53.028127,6.329286,2002-05-06,2002
"8993","Asellus aquaticus",52.262235,6.240964,2007-05-01,2007
"8994","Asellus aquaticus",52.252712,6.246566,2007-04-25,2007
"8995","Asellus aquaticus",53.061269,5.982408,2009-04-16,2009
"8996","Asellus aquaticus",52.322053,6.175887,2007-09-26,2007
"8997","Asellus aquaticus",52.58266,6.154432,2000-09-27,2000
